,fiscal_year,mission,cost,destination
0,1960,Cassini,,Saturn
1,1961,Cassini,,Saturn
2,1962,Cassini,,Saturn
3,1963,Cassini,,Saturn
4,1964,Cassini,,Saturn
5,1965,Cassini,,Saturn
6,1966,Cassini,,Saturn
7,1967,Cassini,,Saturn
8,1968,Cassini,,Saturn
9,1969,Cassini,,Saturn
10,1970,Cassini,,Saturn
11,1971,Cassini,,Saturn
12,1972,Cassini,,Saturn
13,1973,Cassini,,Saturn
14,1974,Cassini,,Saturn
15,1975,Cassini,,Saturn
16,1976,Cassini,,Saturn
18,1977,Cassini,,Saturn
19,1978,Cassini,,Saturn
20,1979,Cassini,,Saturn
21,1980,Cassini,,Saturn
22,1981,Cassini,,Saturn
23,1982,Cassini,,Saturn
24,1983,Cassini,,Saturn
25,1984,Cassini,,Saturn
26,1985,Cassini,,Saturn
27,1986,Cassini,,Saturn
28,1987,Cassini,,Saturn
29,1988,Cassini,,Saturn
30,1989,Cassini,,Saturn
31,1990,Cassini,29.5,Saturn
32,1991,Cassini,145.4,Saturn
33,1992,Cassini,236.1666667,Saturn
34,1993,Cassini,226.5196667,Saturn
35,1994,Cassini,358.9666667,Saturn
36,1995,Cassini,346.8,Saturn
37,1996,Cassini,287.6,Saturn
38,1997,Cassini,187.6,Saturn
39,1998,Cassini,60.4,Saturn
40,1999,Cassini,64.6,Saturn
41,2000,Cassini,61.2,Saturn
42,2001,Cassini,58.1,Saturn
43,2002,Cassini,65.8,Saturn
44,2003,Cassini,75.7,Saturn
45,2004,Cassini,81.21428571,Saturn
46,2005,Cassini,81,Saturn
47,2006,Cassini,81.25,Saturn
48,2007,Cassini,81.25,Saturn
49,2008,Cassini,81.25,Saturn
50,2009,Cassini,81.25,Saturn
51,2010,Cassini,81.25,Saturn
52,2011,Cassini,65.8,Saturn
53,2012,Cassini,60.3,Saturn
54,2013,Cassini,57.9,Saturn
55,2014,Cassini,51.6,Saturn
56,2015,Cassini,68.1,Saturn
57,2016,Cassini,58.8,Saturn
58,2017,Cassini,54.1,Saturn
59,2018,Cassini,19.2,Saturn
60,2019,Cassini,3.9,Saturn
61,2020,Cassini,,Saturn
62,2021,Cassini,,Saturn
63,2022,Cassini,,Saturn
64,2023,Cassini,,Saturn
65,2024,Cassini,,Saturn
66,2025,Cassini,,Saturn
67,1960,CONTOUR,,Comet
68,1961,CONTOUR,,Comet
69,1962,CONTOUR,,Comet
70,1963,CONTOUR,,Comet
71,1964,CONTOUR,,Comet
72,1965,CONTOUR,,Comet
73,1966,CONTOUR,,Comet
74,1967,CONTOUR,,Comet
75,1968,CONTOUR,,Comet
76,1969,CONTOUR,,Comet
77,1970,CONTOUR,,Comet
78,1971,CONTOUR,,Comet
79,1972,CONTOUR,,Comet
80,1973,CONTOUR,,Comet
81,1974,CONTOUR,,Comet
82,1975,CONTOUR,,Comet
83,1976,CONTOUR,,Comet
85,1977,CONTOUR,,Comet
86,1978,CONTOUR,,Comet
87,1979,CONTOUR,,Comet
88,1980,CONTOUR,,Comet
89,1981,CONTOUR,,Comet
90,1982,CONTOUR,,Comet
91,1983,CONTOUR,,Comet
92,1984,CONTOUR,,Comet
93,1985,CONTOUR,,Comet
94,1986,CONTOUR,,Comet
95,1987,CONTOUR,,Comet
96,1988,CONTOUR,,Comet
97,1989,CONTOUR,,Comet
98,1990,CONTOUR,,Comet
99,1991,CONTOUR,,Comet
100,1992,CONTOUR,,Comet
101,1993,CONTOUR,,Comet
102,1994,CONTOUR,,Comet
103,1995,CONTOUR,,Comet
104,1996,CONTOUR,,Comet
105,1997,CONTOUR,,Comet
106,1998,CONTOUR,0.4,Comet
107,1999,CONTOUR,8.8,Comet
108,2000,CONTOUR,52.1,Comet
109,2001,CONTOUR,62.2,Comet
110,2002,CONTOUR,19.7,Comet
111,2003,CONTOUR,,Comet
112,2004,CONTOUR,,Comet
113,2005,CONTOUR,,Comet
114,2006,CONTOUR,,Comet
115,2007,CONTOUR,,Comet
116,2008,CONTOUR,,Comet
117,2009,CONTOUR,,Comet
118,2010,CONTOUR,,Comet
119,2011,CONTOUR,,Comet
120,2012,CONTOUR,,Comet
121,2013,CONTOUR,,Comet
122,2014,CONTOUR,,Comet
123,2015,CONTOUR,,Comet
124,2016,CONTOUR,,Comet
125,2017,CONTOUR,,Comet
126,2018,CONTOUR,,Comet
127,2019,CONTOUR,,Comet
128,2020,CONTOUR,,Comet
129,2021,CONTOUR,,Comet
130,2022,CONTOUR,,Comet
131,2023,CONTOUR,,Comet
132,2024,CONTOUR,,Comet
133,2025,CONTOUR,,Comet
134,1960,DART,,Asteroid
135,1961,DART,,Asteroid
136,1962,DART,,Asteroid
137,1963,DART,,Asteroid
138,1964,DART,,Asteroid
139,1965,DART,,Asteroid
140,1966,DART,,Asteroid
141,1967,DART,,Asteroid
142,1968,DART,,Asteroid
143,1969,DART,,Asteroid
144,1970,DART,,Asteroid
145,1971,DART,,Asteroid
146,1972,DART,,Asteroid
147,1973,DART,,Asteroid
148,1974,DART,,Asteroid
149,1975,DART,,Asteroid
150,1976,DART,,Asteroid
152,1977,DART,,Asteroid
153,1978,DART,,Asteroid
154,1979,DART,,Asteroid
155,1980,DART,,Asteroid
156,1981,DART,,Asteroid
157,1982,DART,,Asteroid
158,1983,DART,,Asteroid
159,1984,DART,,Asteroid
160,1985,DART,,Asteroid
161,1986,DART,,Asteroid
162,1987,DART,,Asteroid
163,1988,DART,,Asteroid
164,1989,DART,,Asteroid
165,1990,DART,,Asteroid
166,1991,DART,,Asteroid
167,1992,DART,,Asteroid
168,1993,DART,,Asteroid
169,1994,DART,,Asteroid
170,1995,DART,,Asteroid
171,1996,DART,,Asteroid
172,1997,DART,,Asteroid
173,1998,DART,,Asteroid
174,1999,DART,,Asteroid
175,2000,DART,,Asteroid
176,2001,DART,,Asteroid
177,2002,DART,,Asteroid
178,2003,DART,,Asteroid
179,2004,DART,,Asteroid
180,2005,DART,,Asteroid
181,2006,DART,,Asteroid
182,2007,DART,,Asteroid
183,2008,DART,,Asteroid
184,2009,DART,,Asteroid
185,2010,DART,,Asteroid
186,2011,DART,,Asteroid
187,2012,DART,,Asteroid
188,2013,DART,,Asteroid
189,2014,DART,,Asteroid
190,2015,DART,,Asteroid
191,2016,DART,6.4,Asteroid
192,2017,DART,16.1,Asteroid
193,2018,DART,41,Asteroid
194,2019,DART,98,Asteroid
195,2020,DART,72.4,Asteroid
196,2021,DART,66.4,Asteroid
197,2022,DART,9.1,Asteroid
